k,n,degrees_list,hodge_numbers
2,5,{5},{1, 1151, 12652, 1151, 1}
2,5,{6},{10, 4765, 44495, 4765, 10}
2,5,{7},{50, 14960, 125960, 14960, 50}
2,5,{8},{175, 39025, 305900, 39025, 175}
2,5,{9},{490, 89110, 662840, 89110, 490}
2,5,{10},{1176, 184026, 1315152, 184026, 1176}
2,5,{1, 1},{0, 0, 0, 0, 0}
2,5,{2, 1},{0, 1, 20, 1, 0}
2,5,{2, 2},{0, 20, 130, 20, 0}
2,5,{3, 1},{0, 41, 230, 41, 0}
2,5,{3, 2},{1, 189, 802, 189, 1}
2,5,{3, 3},{10, 765, 2710, 765, 10}
2,5,{4, 1},{1, 299, 1242, 299, 1}
2,5,{4, 2},{10, 981, 3500, 981, 10}
2,5,{4, 3},{50, 2691, 8600, 2691, 50}
2,5,{4, 4},{175, 6995, 20790, 6995, 175}
2,5,{5, 1},{9, 1224, 4438, 1224, 9}
2,5,{5, 2},{49, 3469, 11338, 3469, 49}
2,5,{5, 3},{174, 7879, 23758, 7879, 174}
2,5,{5, 4},{489, 16899, 48058, 16899, 489}
2,5,{5, 5},{1174, 34924, 95548, 34924, 1174}
2,5,{6, 1},{40, 3665, 12300, 3665, 40}
2,5,{6, 2},{165, 9586, 29740, 9586, 165}
2,5,{6, 3},{480, 19621, 57100, 19621, 480}
2,5,{6, 4},{1166, 37369, 103452, 37369, 1166}
2,5,{6, 5},{2509, 68949, 184138, 68949, 2509}
2,5,{6, 6},{4930, 123780, 322750, 123780, 4930}
2,5,{7, 1},{125, 9001, 28740, 9001, 125}
2,5,{7, 2},{440, 22385, 67100, 22385, 440}
2,5,{7, 3},{1126, 42979, 122162, 42979, 1126}
2,5,{7, 4},{2470, 75851, 206400, 75851, 2470}
2,5,{7, 5},{4899, 129219, 339988, 129219, 4899}
2,5,{7, 6},{9015, 215361, 553110, 215361, 9015}
2,5,{7, 7},{15630, 351525, 888270, 351525, 15630}
2,5,{8, 1},{315, 19271, 59430, 19271, 315}
2,5,{8, 2},{1001, 46299, 135442, 46299, 1001}
2,5,{8, 3},{2345, 85175, 238090, 85175, 2345}
2,5,{8, 4},{4775, 142791, 384030, 142791, 4775}
2,5,{8, 5},{8899, 229879, 599158, 229879, 8899}
2,5,{8, 6},{15545, 362051, 921250, 362051, 15545}
